machine_id,timestamp,temperature,room_temp
M1,2024-01-01T00:00:00,61.44,25.32
M1,2024-01-01T00:10:00,74.9,25.77
M1,2024-01-01T00:20:00,83.26,24.47
M1,2024-01-01T00:30:00,68.21,23.09
M1,2024-01-01T00:40:00,71.08,23.48
M1,2024-01-01T00:50:00,62.46,23.59
M1,2024-01-01T01:00:00,63.85,25.6
M1,2024-01-01T01:10:00,64.28,25.11
M1,2024-01-01T01:20:00,64.0,25.95
M1,2024-01-01T01:30:00,63.99,26.85
M1,2024-01-01T01:40:00,64.33,24.99
M1,2024-01-01T01:50:00,71.11,23.78
M1,2024-01-01T02:00:00,80.89,26.19
M1,2024-01-01T02:10:00,70.69,25.17
M1,2024-01-01T02:20:00,61.95,23.42
M1,2024-01-01T02:30:00,64.7,26.06
M1,2024-01-01T02:40:00,61.35,25.13
M1,2024-01-01T02:50:00,63.62,25.61
M1,2024-01-01T03:00:00,86.75,25.89
M1,2024-01-01T03:10:00,62.8,24.69
M1,2024-01-01T03:20:00,59.46,26.1
M1,2024-01-01T03:30:00,81.68,23.8
M1,2024-01-01T03:40:00,71.17,25.3
M1,2024-01-01T03:50:00,68.81,24.35
M1,2024-01-01T04:00:00,74.48,25.34
M1,2024-01-01T04:10:00,53.9,25.82
M1,2024-01-01T04:20:00,80.74,26.04
M1,2024-01-01T04:30:00,65.9,25.36
M1,2024-01-01T04:40:00,63.05,25.74
M1,2024-01-01T04:50:00,82.57,24.5
M1,2024-01-01T05:00:00,69.51,26.16
M1,2024-01-01T05:10:00,64.35,25.51
M1,2024-01-01T05:20:00,73.86,25.18
M1,2024-01-01T05:30:00,63.49,24.67
M1,2024-01-01T05:40:00,73.37,24.71
M1,2024-01-01T05:50:00,67.03,24.77
M1,2024-01-01T06:00:00,65.02,24.71
M1,2024-01-01T06:10:00,66.19,25.4
M1,2024-01-01T06:20:00,62.28,26.4
M1,2024-01-01T06:30:00,57.41,24.97
M1,2024-01-01T06:40:00,67.51,24.57
M1,2024-01-01T06:50:00,66.04,25.3
M1,2024-01-01T07:00:00,68.7,24.99
M1,2024-01-01T07:10:00,72.71,25.75
M1,2024-01-01T07:20:00,62.99,26.38
M1,2024-01-01T07:30:00,69.93,27.19
M1,2024-01-01T07:40:00,64.53,25.92
M1,2024-01-01T07:50:00,67.5,24.5
M1,2024-01-01T08:00:00,67.05,24.63
M1,2024-01-01T08:10:00,61.69,25.47
M1,2024-01-01T08:20:00,70.1,24.84
M1,2024-01-01T08:30:00,63.08,24.68
M1,2024-01-01T08:40:00,65.22,25.56
M1,2024-01-01T08:50:00,68.14,26.31
M1,2024-01-01T09:00:00,65.38,24.79
M1,2024-01-01T09:10:00,68.3,25.78
M1,2024-01-01T09:20:00,73.5,24.13
M1,2024-01-01T09:30:00,68.25,25.35
M1,2024-01-01T09:40:00,68.13,25.85
M1,2024-01-01T09:50:00,85.88,24.29
M1,2024-01-01T10:00:00,85.52,23.78
M1,2024-01-01T10:10:00,61.04,25.66
M1,2024-01-01T10:20:00,63.24,23.87
M1,2024-01-01T10:30:00,71.82,25.41
M1,2024-01-01T10:40:00,62.66,25.15
M1,2024-01-01T10:50:00,62.55,24.18
M1,2024-01-01T11:00:00,71.39,24.76
M1,2024-01-01T11:10:00,67.07,26.45
M1,2024-01-01T11:20:00,59.97,24.97
M1,2024-01-01T11:30:00,61.65,25.48
M1,2024-01-01T11:40:00,66.38,25.74
M1,2024-01-01T11:50:00,62.77,23.49
M1,2024-01-01T12:00:00,62.37,24.49
M1,2024-01-01T12:10:00,67.87,25.39
M1,2024-01-01T12:20:00,68.15,24.19
M1,2024-01-01T12:30:00,67.29,23.86
M1,2024-01-01T12:40:00,71.36,26.07
M1,2024-01-01T12:50:00,60.11,24.06
M1,2024-01-01T13:00:00,68.52,25.26
M1,2024-01-01T13:10:00,69.58,28.85
M1,2024-01-01T13:20:00,73.65,25.99
M1,2024-01-01T13:30:00,65.42,25.76
M1,2024-01-01T13:40:00,67.83,24.14
M1,2024-01-01T13:50:00,91.94,23.13
M1,2024-01-01T14:00:00,64.93,25.08
M1,2024-01-01T14:10:00,83.58,26.09
M1,2024-01-01T14:20:00,74.8,25.13
M1,2024-01-01T14:30:00,63.35,25.22
M1,2024-01-01T14:40:00,92.17,26.84
M1,2024-01-01T14:50:00,56.87,25.19
M1,2024-01-01T15:00:00,64.78,23.33
M1,2024-01-01T15:10:00,86.51,25.87
M1,2024-01-01T15:20:00,65.33,24.68
M1,2024-01-01T15:30:00,75.83,25.4
M1,2024-01-01T15:40:00,68.89,26.65
M1,2024-01-01T15:50:00,59.4,24.52
M1,2024-01-01T16:00:00,65.81,26.87
M1,2024-01-01T16:10:00,50.79,23.98
M1,2024-01-01T16:20:00,57.03,23.7
M1,2024-01-01T16:30:00,64.8,25.13
M1,2024-01-01T16:40:00,67.29,27.35
M1,2024-01-01T16:50:00,62.09,25.46
M1,2024-01-01T17:00:00,84.39,25.06
M1,2024-01-01T17:10:00,67.57,25.66
M1,2024-01-01T17:20:00,63.92,27.11
M1,2024-01-01T17:30:00,66.24,25.59
M1,2024-01-01T17:40:00,64.57,25.21
M1,2024-01-01T17:50:00,64.05,25.85
M1,2024-01-01T18:00:00,71.76,26.45
M1,2024-01-01T18:10:00,71.06,25.63
M1,2024-01-01T18:20:00,69.76,24.29
M1,2024-01-01T18:30:00,66.9,25.12
M1,2024-01-01T18:40:00,63.65,26.16
M1,2024-01-01T18:50:00,65.91,26.1
M1,2024-01-01T19:00:00,64.96,25.26
M1,2024-01-01T19:10:00,73.53,25.02
M1,2024-01-01T19:20:00,65.8,25.85
M1,2024-01-01T19:30:00,85.97,24.87
M1,2024-01-01T19:40:00,76.56,26.07
M1,2024-01-01T19:50:00,61.97,23.79
M1,2024-01-01T20:00:00,70.85,25.67
M1,2024-01-01T20:10:00,66.94,24.1
M1,2024-01-01T20:20:00,78.73,26.77
M1,2024-01-01T20:30:00,62.87,24.68
M1,2024-01-01T20:40:00,70.07,26.36
M1,2024-01-01T20:50:00,68.22,24.49
M1,2024-01-01T21:00:00,86.68,25.87
M1,2024-01-01T21:10:00,59.76,23.59
M1,2024-01-01T21:20:00,63.68,26.36
M1,2024-01-01T21:30:00,68.55,26.48
M1,2024-01-01T21:40:00,65.49,25.0
M1,2024-01-01T21:50:00,68.61,24.17
M1,2024-01-01T22:00:00,69.46,25.09
M1,2024-01-01T22:10:00,70.45,24.6
M1,2024-01-01T22:20:00,67.35,25.98
M1,2024-01-01T22:30:00,67.49,24.23
M1,2024-01-01T22:40:00,78.38,25.41
M1,2024-01-01T22:50:00,77.77,24.23
M1,2024-01-01T23:00:00,66.45,25.98
M1,2024-01-01T23:10:00,62.8,24.4
M1,2024-01-01T23:20:00,72.16,23.19
M1,2024-01-01T23:30:00,86.03,26.88
M1,2024-01-01T23:40:00,69.86,25.97
M1,2024-01-01T23:50:00,60.4,26.83
M1,2024-01-02T00:00:00,66.63,24.72
M1,2024-01-02T00:10:00,58.43,26.35
M1,2024-01-02T00:20:00,68.38,25.28
M1,2024-01-02T00:30:00,59.03,24.4
M1,2024-01-02T00:40:00,85.78,25.3
M1,2024-01-02T00:50:00,67.03,25.05
M1,2024-01-02T01:00:00,65.43,23.4
M1,2024-01-02T01:10:00,67.6,25.51
M1,2024-01-02T01:20:00,72.3,26.54
M1,2024-01-02T01:30:00,68.66,24.25
M1,2024-01-02T01:40:00,67.57,26.55
M1,2024-01-02T01:50:00,77.3,26.76
M1,2024-01-02T02:00:00,61.9,24.73
M1,2024-01-02T02:10:00,86.94,26.37
M1,2024-01-02T02:20:00,64.83,24.66
M1,2024-01-02T02:30:00,88.18,23.24
M1,2024-01-02T02:40:00,71.43,24.86
M1,2024-01-02T02:50:00,74.51,25.07
